Year,GSub,SJQ,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u,PRK,S,H
1997,13,ZY,5.275,370.089,0,27.2655,0,0.125555889,31.336073,-316.762427,-2.522879887
1997,15,ZY,2.496666667,342.1933333,0,14.8555,0,0.159915372,170.22694,-159.60756,-0.998075157
1997,17,ZY,3.035,371.1985,0,20.9145,0,0.179684562,57.1432,-296.1758,-1.648309664
1997,18,ZY,3.328,370.0805,0,25.477,0,0.121130919,116.1956,-231.7359,-1.913102797
1997,21,ZY,1.975,374.554,0,26.8275,0,0.119070526,65.2489152,-284.4525848,-2.388942036
1997,3,ZY,3.265,363.7313333,0,63.1815,0,0.133045631,21.443632,-282.3712013,-2.122363577
1997,4,ZY,3.76925,590.474,0,5.694,0,0.127988212,209.6243,-378.92495,-2.960623827
1997,5,ZY,4.569,512.7553333,0,39.055,0,0.1625366,15.1495432,-463.1197901,-2.849326183
1997,6,ZY,7.19,489.9895,0,7.6285,0,0.160806351,89.26999541,-400.2810046,-2.489211415
1997,8,ZY,4.543,365.753,0,23.068,0,0.149415561,7.467389,-339.760611,-2.273930565
1997,9,ZY,3.299333333,363.0226667,0,37.4855,0,0.082977289,80.746572,-248.089928,-2.989853381
1998,10,ZY,2.042,365.5583333,0,3.212,0,0.138979427,2.049997214,-362.3383361,-2.607136494
1998,13,ZY,3.587333333,328.1293333,0,27.2655,0,0.125555889,158.3397,-146.1114666,-1.163716555
1998,15,ZY,3.045666667,329.1736667,0,14.8555,0,0.159915372,168.805,-148.5588334,-0.928984071
1998,17,ZY,2.456,329.172,0,20.9145,0,0.179684562,138.449428,-172.264072,-0.958702685
1998,18,ZY,2.3715,328.148,0,25.477,0,0.121130919,162.405663,-142.636837,-1.177542763
1998,21,ZY,2.1135,335.1405,0,26.8275,0,0.119070526,171.5601,-138.8664,-1.166253351
1998,3,ZY,3.763,512.6256667,0,63.1815,0,0.133045631,109.1441,-344.0630667,-2.586053102
1998,4,ZY,4.44025,489.493,0,5.694,0,0.127988212,198.2754,-289.96385,-2.265551221
1998,5,ZY,2.754,318.8823333,0,39.055,0,0.1625366,60.791,-221.7903333,-1.364556249
1998,6,ZY,6.882,573.9645,0,7.6285,0,0.160806351,168.9807,-404.2373,-2.513814271
1998,8,ZY,2.606,508.4373333,0,23.068,0,0.149415561,143.0217571,-344.9535762,-2.308685748
1998,9,ZY,2.995666667,502.6306667,0,37.4855,0,0.082977289,76.4714,-391.6694334,-4.720200408
1999,10,ZY,1.736333333,320.4043333,0,3.212,0,0.138979427,86.4416,-232.4870666,-1.672816414
1999,13,ZY,3.311666667,420.775,0,27.2655,0,0.125555889,74.3908,-322.4303667,-2.568022649
1999,15,ZY,1.470666667,547.289,0,14.8555,0,0.159915372,183.89503,-350.0091367,-2.18871477
1999,17,ZY,2.554,544.281,0,20.9145,0,0.179684562,72.57972469,-453.3407753,-2.522981219
1999,18,ZY,2.7185,545.553,0,25.477,0,0.121130919,136.1499661,-386.6445339,-3.191955754
1999,21,ZY,1.279,371.382,0,26.8275,0,0.119070526,93.77992,-252.05358,-2.116842753
1999,3,ZY,2.984,318.7676667,0,63.1815,0,0.133045631,114.742,-143.8281667,-1.081043892
1999,4,ZY,3.56225,489.44925,0,5.694,0,0.127988212,172.07344,-315.24406,-2.463071052
1999,5,ZY,1.447,365.9256667,0,39.055,0,0.1625366,90.00488,-238.3127867,-1.46620999
1999,6,ZY,9.4295,602.9175,0,7.6285,0,0.160806351,244.984,-359.7345,-2.237066495
1999,8,ZY,1.777666667,405.9213333,0,23.068,0,0.149415561,72.925,-311.706,-2.086168254
1999,9,ZY,3.395666667,422.8106667,0,37.4855,0,0.082977289,158.172,-230.5488334,-2.778457047
2000,10,ZY,3.728,374.6756667,0,3.212,0,0.138979427,202.602,-172.5896667,-1.241836079
2000,13,ZY,5.358666667,433.6266667,0,27.2655,0,0.125555889,310.68,-101.0398334,-0.804739898
2000,15,ZY,5.076333333,381.2113333,0,14.8555,0,0.159915372,434.86,63.42783337,0.396633748
2000,17,ZY,7.437,435.2215,0,20.9145,0,0.179684562,470.93,49.186,0.273735258
2000,18,ZY,6.267,379.9585,0,25.477,0,0.121130919,433.48,72.7315,0.600437119
2000,21,ZY,5.9565,438.8345,0,26.8275,0,0.119070526,398.39,-19.5735,-0.164385769
2000,3,ZY,3.634666667,372.7423333,0,63.1815,0,0.133045631,126.022,-187.1735,-1.406836877
2000,4,ZY,3.18375,489.383,0,5.694,0,0.127988212,170.871812,-316.000938,-2.468984706
2000,5,ZY,2.885333333,372.961,0,39.055,0,0.1625366,184.673,-152.1183333,-0.935902027
2000,6,ZY,5.861,429.914,0,7.6285,0,0.160806351,224.0383,-204.1082,-1.26927947
2000,8,ZY,2.831333333,374.7786667,0,23.068,0,0.149415561,202.551,-151.991,-1.017236752
2000,9,ZY,3.755,371.9673333,0,37.4855,0,0.082977289,239.65,-98.5868333,-1.188118273
2001,10,ZY,3.041666667,365.695,0,3.212,0,0.138979427,81.154,-284.3706667,-2.046134977
2001,13,ZY,4.141333333,340.7593333,0,27.2655,0,0.125555889,24.223,-293.4121666,-2.336904855
