Year,SJQ,GSub,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u
1999,ZY,18,2.7185,545.553,0,25.477,0,0.121130919
1999,ZY,21,1.279,371.382,0,26.8275,0,0.119070526
2000,ZY,3,3.634666667,372.7423333,0,63.1815,0,0.133045631
2000,ZY,4,3.18375,489.383,0,5.694,0,0.127988212
2000,ZY,5,2.885333333,372.961,0,39.055,0,0.1625366
2000,ZY,6,5.861,429.914,0,7.6285,0,0.160806351
2000,ZY,8,2.831333333,374.7786667,0,23.068,0,0.149415561
2000,ZY,9,3.755,371.9673333,0,37.4855,0,0.082977289
2000,ZY,10,3.728,374.6756667,0,3.212,0,0.138979427
2000,ZY,13,5.358666667,433.6266667,0,27.2655,0,0.125555889
2000,ZY,15,5.076333333,381.2113333,0,14.8555,0,0.159915372
2000,ZY,17,7.437,435.2215,0,20.9145,0,0.179684562
2000,ZY,18,6.267,379.9585,0,25.477,0,0.121130919
2000,ZY,21,5.9565,438.8345,0,26.8275,0,0.119070526
2001,ZY,3,1.817333333,363.7486667,0,63.1815,0,0.133045631
2001,ZY,4,3.74625,418.41625,0,5.694,0,0.127988212
2001,ZY,5,2.054,364.012,0,39.055,0,0.1625366
2001,ZY,6,8.406,429.883,0,7.6285,0,0.160806351
2001,ZY,8,2.914,327.5733333,0,23.068,0,0.149415561
2001,ZY,9,2.335,363.0033333,0,37.4855,0,0.082977289
2001,ZY,10,3.041666667,365.695,0,3.212,0,0.138979427
2001,ZY,13,4.141333333,340.7593333,0,27.2655,0,0.125555889
2001,ZY,15,1.966,342.2076667,0,14.8555,0,0.159915372
2001,ZY,17,2.7935,371.176,0,20.9145,0,0.179684562
2001,ZY,18,3.4545,369.8175,0,25.477,0,0.121130919
2001,ZY,21,2.3445,344.5525,0,26.8275,0,0.119070526
2002,ZY,3,3.264333333,325.7963333,0,63.1815,0,0.133045631
2002,ZY,4,4.7445,544.17,0,5.694,0,0.127988212
2002,ZY,5,2.511333333,326.0376667,0,39.055,0,0.1625366
2002,ZY,6,7.3735,429.862,0,7.6285,0,0.160806351
2002,ZY,8,2.706333333,327.6056667,0,23.068,0,0.149415561
2002,ZY,9,2.238666667,362.9943333,0,37.4855,0,0.082977289
2002,ZY,10,3.960333333,365.729,0,3.212,0,0.138979427
2002,ZY,13,4.731666667,369.5526667,0,27.2655,0,0.125555889
2002,ZY,15,2.453333333,371.2173333,0,14.8555,0,0.159915372
2002,ZY,17,1.896,371.1745,0,20.9145,0,0.179684562
2002,ZY,18,2.011,369.761,0,25.477,0,0.121130919
2002,ZY,21,2.9765,467.2995,0,26.8275,0,0.119070526
2003,ZY,3,5.157666667,363.7616667,0,63.1815,0,0.133045631
2003,ZY,4,7.27475,590.02625,0,5.694,0,0.127988212
2003,ZY,5,4.444666667,364.0666667,0,39.055,0,0.1625366
2003,ZY,6,10.1205,429.847,0,7.6285,0,0.160806351
2003,ZY,8,3.887333333,327.602,0,23.068,0,0.149415561
2003,ZY,9,3.326666667,325.08,0,37.4855,0,0.082977289
2003,ZY,10,5.117666667,327.5866667,0,3.212,0,0.138979427
2003,ZY,13,6.050333333,340.6196667,0,27.2655,0,0.125555889
2003,ZY,15,3.905333333,342.2036667,0,14.8555,0,0.159915372
2003,ZY,17,4.894,342.158,0,20.9145,0,0.179684562
2003,ZY,18,4.3655,340.838,0,25.477,0,0.121130919
2003,ZY,21,5.2775,344.375,0,26.8275,0,0.119070526
2004,ZY,3,5.014333333,325.7686667,0,63.1815,0,0.133045631
